category,category_id
Thời Trang Nữ,CAT_0001
Unknown,CAT_0002
Thiết Bị Số - Phụ Kiện Số,CAT_0003
Các Loại Rong Biển Ăn Liền,CAT_0004
Hạt Giống,CAT_0005
Sách Tiếng Việt,CAT_0006
Nhà Cửa - Đời Sống,CAT_0007
Sim Số,CAT_0008
Điện Gia Dụng,CAT_0009
Lịch Sử Thế Giới,CAT_0010
Thời Trang,CAT_0011
Văn Hóa Phẩm,CAT_0012
Đồ Chơi - Mẹ & Bé,CAT_0013
Bách Hóa Online,CAT_0014
Nội Thất Phòng Ngủ Khác,CAT_0015
Máy Sấy Quần Áo,CAT_0016
Tai Nghe Bluetooth,CAT_0017
Sữa Cho Bé Dưới 24 Tháng,CAT_0018
Sữa Đậu Nành,CAT_0019
Tã Quần Cho Người Lớn,CAT_0020
Trà Hòa Tan,CAT_0021
Tiểu Thuyết Phương Đông,CAT_0022
Đầm Suông,CAT_0023
Bếp Điện Từ Đơn,CAT_0024
"Lắp Ghép, Xếp Hình",CAT_0025
Đèn Pin,CAT_0026
Sữa Rửa Mặt,CAT_0027
Sách Tư Duy - Kỹ Năng Sống,CAT_0028
Loa Bluetooth,CAT_0029
"Nội Thất Phòng Học, Làm Việc Khác",CAT_0030
"Búp Bê, Thú Bông",CAT_0031
Lò Vi Sóng Cơ,CAT_0032
Sách Y Học Cổ Truyền,CAT_0033
Mới Và Nổi Bật,CAT_0034
"Truyện Tranh, Manga, Comic",CAT_0035
Miếng Lót Dành Cho Người Lớn,CAT_0036
Máy Sấy Tóc,CAT_0037
Chế Phẩm Diệt Côn Trùng,CAT_0038
Bài Học Kinh Doanh,CAT_0039
Bàn Ủi Hơi Nước,CAT_0040
Loa Nghe Nhạc,CAT_0041
Truyện Trinh Thám,CAT_0042
Bàn Chải Điện Cho Bé,CAT_0043
Chương Trình Khuyến Mại Khác,CAT_0044
Cà Phê,CAT_0045
Ăn Kiêng - Giảm Cân,CAT_0046
Các Loại Đậu Sấy Khô,CAT_0047
"Hũ, Lọ Đựng Gia Vị",CAT_0048
Máy Cạo Râu,CAT_0049
Phật Giáo,CAT_0050
Phụ Kiện Di Động Khác,CAT_0051
Phụ Kiện Thờ Cúng,CAT_0052
Truyện Ngắn - Tản Văn - Tạp Văn Nước Ngoài,CAT_0053
Chảo Chiên,CAT_0054
Gối Cho Bé,CAT_0055
