product_id,product_name,brand,platform,category_id
277305929,Đầm suông nữ vải Linen rút eo cổ V tay ngắn da218,Arctic Hunter,Tiki,CAT_0001
275767409,BỘ 12 CỜ LÊ VÒNG MIỆNG 6-24MM/6-32MM INGCO - HÀNG CHÍNH HÃNG,Ingco,Tiki,CAT_0002
12276970,Bàn Phím Cơ Có Dây DareU EK87 LED Tenkeyless - Hàng Chính Hãng,Dareu,Tiki,CAT_0003
99324795,CƠM GẠO LỨT RONG BIỂN GIÒN THƠM - HŨ 250G HIỆU SK FOOD,Sk Food,Tiki,CAT_0004
272413292,Ốp lưng trong suốt GOR dành cho iPhone 15 Pro Max / iPhone 15 Pro / iPhone 15 Plus / iPhone 15 - HÀNG CHÍNH HÃNG,Gor,Tiki,CAT_0003
61274272,Áo kiểu cổ trụ xếp ly sang trọng,Unknown,Tiki,CAT_0001
277232916,Ốp lưng cho Samsung S21 FE - S23 - S23 Plus - S23 Ultra - S24 - S24 Ultra - Nhẫn Một Chút - Hàng Chính Hãng,Olsg,Tiki,CAT_0002
275344801,Hạt giống Măng tây Xanh Italy VTP40,An Phát,Tiki,CAT_0005
248541391,Veil - Vết bỏng trong veo - Tập 4,No Brand,Tiki,CAT_0002
277880869,Áo Thun Unisex - Oversize Chất 100% Cotton 2 chiều Dày 250gsm | Nam Nữ Mặc Siêu Đẹp,Sure Fashion S,Tiki,CAT_0001
132703002,"Áo len nữ, áo len dài tay cổ tim Al72",Haint Boutique,Tiki,CAT_0001
595724,Sách Giáo Trình Chuẩn HSK 4 Bài Học (Tập 1),No Brand,Tiki,CAT_0006
130369125,"Cây Treo Quần Áo, Túi Xách, Mũ Thông Minh Phong Cách VINTAG Gọn Gàng Tiết Kiệm Diện Tích Nhà Cửa- Hàng Chính Hãng MINIIN",Miniin,Tiki,CAT_0007
278950965,"Sim đẹp Mobifone Chọn Số đầu 090, 0909 đầu số cỗ đẹp dễ nhớ",Mobifone,Tiki,CAT_0008
274765124,Thức Ăn Cho Mèo Whiskas Adult 1+ YearsVị Cá Ngừ 480g/Túi,Whiskas,Tiki,CAT_0002
88073058,Túi chống nước UAG WaterProof cho điện thoại - Hàng Chính Hãng,Uag,Tiki,CAT_0003
186552176,Quạt Hộp USS-Hàng Chính Hãng,Uss,Tiki,CAT_0009
278682565,Sách 6 Vật Liệu Định Hình Văn Minh Nhân Loại,No Brand,Tiki,CAT_0010
50691053,"Quần tây, quần âu suông nữ công sở Haint Boutique QT26",Haint Boutique,Tiki,CAT_0011
278961233,"Bao Lì Xì Gieo Quẻ Mẫu Mới, Bộ 12 quẻ rút thăm xin quẻ Cực Xịn",Unknown,Tiki,CAT_0012
6840059,Combo 2 Tã Dán Người Lớn SunMate G2 Size M10 (10 Miếng),Sunmate,Tiki,CAT_0013
44372249,Kính vạn hoa ma thuật Đồ chơi ống nhòm cho bé (giao mẫu ngẫu nhiên),Unknown,Tiki,CAT_0013
278756672,Đồ Chơi Lắp Ráp Cửa Hàng Đồ Chơi 125X80X165Mm 1643,Loz,Tiki,CAT_0002
98578829,Thùng 24 Lon Nước Ngọt Có Gaz 7Up lon xanh (320ml/lon),7Up,Tiki,CAT_0014
96175682,"Giường ngủ gấp gọn thông minh NIKITA, Xếp thành ghế SOFA dễ di chuyển",Nikita,Tiki,CAT_0015
275695922,Nồi Chiên Hơi Nước TAPUHO TSF16 Dung Tích 16L 60 Chương Trình Nấu Công suất 1000W - 1800W Bảo Hành 24 Tháng- Hàng Chính Hãng,Tapuho,Tiki,CAT_0002
248638181,Bình uống trực tiếp AXSTARS Richell Nhật Bản 450ml chống sặc cho bé từ 8 tháng | Baby,Richell,Tiki,CAT_0002
101949408,Quần lót nữ Jones thun  lạnh ren 001,Jones'.,Tiki,CAT_0002
37946843,Sách Succeed In The Cambridge Pre-A1 Starters English Test (Kèm CD Hoặc File MP3),No Brand,Tiki,CAT_0006
278068466,"Khăn trải bàn họa tiết caro  180cm x 140cm , chống nước  thích hợp đi dã ngoại picnic/ khăn trải bàn học/ bàn làm việc",Lynusan,Tiki,CAT_0007
201529616,Ốp lưng dành cho Iphone 14 - Iphone 14 Plus - Iphone 14 Pro - Iphone 14 Pro Max - Moon,Olsg,Tiki,CAT_0002
274987524,Nồi áp suất Bear SB-AS25L 2.5L (600W) - Hàng chính hãng,Bear,Tiki,CAT_0002
278872428,Tủ sấy quần áo Elmich CDE-8641 - Hàng Chính Hãng,Elmich,Tiki,CAT_0016
271312499,Tai nghe Bluetooth True Wireless Sony WF-1000XM5 - Hàng Chính Hãng,Sony,Tiki,CAT_0017
276120744,"Máy sấy tóc thời trang BD-1000, 1000W, 2 cấp độ sấy nóng và 1 cấp độ sấy gió mát. Hàng chính hãng",Bigsun,Tiki,CAT_0009
247427687,Sữa bột Nestlé NAN OPTIPRO PLUS 3 1500g/lon với 5HMO (1-2 tuổi),Unknown,Tiki,CAT_0018
186349365,Lõi lọc không khí Xiaomi Xiaomi Mi Air Purifier Filter Có chip RFID - Hàng chính hãng,Xiaomi,Tiki,CAT_0009
278704276,Bình đun siêu tốc Braun WK1100BK - Hàng chính hãng,Braun,Tiki,CAT_0009
278691690,"Đệm cho bé sơ sinh nằm ngủ, vải mềm mát lạnh, êm ái, giúp bé ngủ ngon",Katina House,Tiki,CAT_0013
187826660,Quần suông ống rộng nữ kiểu TR012,2Nddate,Tiki,CAT_0002
32951826,Thùng Sữa đậu nành Vinasoy Fami Canxi ít đường (200ml x 36 Hộp),Fami,Tiki,CAT_0019
278989407,"Tã/Bỉm Quần Người Lớn, Người Già Peppy Siêu Mỏng, Siêu Thấm, Mềm Mại, Kháng Khuẩn Size M8/L7/XL7",Peppy,Tiki,CAT_0020
277497077,"[ HÀNG CHÍNH HÃNG ] Máy tạo độ ẩm (NanoCloud), tích hợp tạo hương tinh dầu, thương hiệu Hà Lan cao cấp Philips - HU5710",Philips,Tiki,CAT_0002
275240061,03 Cuộn Túi Đựng Rác Màu Đen Cho Gia Đình Bao Đựng Rác Văn Phòng Nặng 1kg,Peaflo,Tiki,CAT_0007
272903492,"Sữa tăng chiều cao A2 nguyên kem full cream high in calcium phát triển xương, răng trẻ, chống loãng xương người lớn, tăng sức khỏe-QuaTangMe Extaste",A2,Tiki,CAT_0014
46225060,1kg hạt hạnh nhân - Mỹ Nguyên vỏ,Dược Liệu Tuệ Tâm,Tiki,CAT_0014
276702236,Cà Phê Phin Viettin Mart 500G,Viettin Mart,Tiki,CAT_0014
278693057,Cozy Icetea Đào 400gr Túi,Cozy,Tiki,CAT_0021
278101824,Sách Thuyền,No Brand,Tiki,CAT_0022
276674842,Chuột không dây Logitech Pop Mouse With Emoji (New Edition) - Hàng Chính Hãng,Logitech,Tiki,CAT_0003
277312432,"Đầm Linen dáng suông cỏ V có túi 2 bên sườn kèm dây rút eo trẻ trung, tôn dáng da218",Arctic Hunter,Tiki,CAT_0023
273309550,[Mẫu mới] Combo 2 Tã quần SunMate siêu khô thoáng G1 mới size L-14+2 miếng,Sunmate,Tiki,CAT_0013
277596966,Sữa bột Nutifood GrowPLUS+ Sữa Non Immunel trên 1 tuổi Lon 800g,Growplus,Tiki,CAT_0013
177924918,"Ốp Lưng Dành Cho Samsung Galaxy S22 Ultra, S22 Plus Hiệu Nillkin Nhựa Sần Viền Dẻo Chống Sốc-Hàng Chính Hãng",Nillkin,Tiki,CAT_0003
175645864,Chỉ giặt tay,Wannabe,Tiki,CAT_0001
1404097,Combo 6 Pick Gảy Đàn Guitar Alice AP100,Alice,Tiki,CAT_0007
278804919,Bao Case cho Airpods Pro 3 UNIQ Glase Ultra-Clear Shockproof Case - Hàng Chính Hãng,Uniq,Tiki,CAT_0003
270734741,Sách Điều cơ thể muốn bạn lắng nghe,No Brand,Tiki,CAT_0002
272564073,"Bếp Điện Từ Toshiba IC-20R1SV - Cảm ứng, tặng Nồi Lẩu Inox cao cấp 1 lớp, 9 mức công suất, model 2023 - Hàng chính hãng",Toshiba,Tiki,CAT_0024
278700523,"Deskpad da tấm di chuột miếng lót chuột khổ lớn, thảm da trải bàn làm việc 60x30cm - Hàng chính hãng",Suzin,Tiki,CAT_0003
278619742,Sách Danh Tác Thế Giới Lầy Lội,No Brand,Tiki,CAT_0002
102432143,Ấm Đun Siêu Tốc Inox 2 Lớp Sunhouse SHD1351 (1.8 Lít) - Hàng Chính Hãng,Sunhouse,Tiki,CAT_0009
14134809,Bột quế nguyên chất Viet Healthy 200g,Viet Healthy,Tiki,CAT_0014
270789912,Shin - Cậu Bé Bút Chì Tập 30,No Brand,Tiki,CAT_0002
276937664,Nồi cơm điện cao tần Tiger JPW-H18V - Hàng Chính Hãng,Tiger,Tiki,CAT_0009
275295766,Bình sữa mô phỏng tự nhiên mới hiệu Philips Avent  cho trẻ từ 0 tháng tuổi (125ml-đơn)_SCY900.01,Philips Avent,Tiki,CAT_0002
275625828,"10Gói Dưỡng Hoa Tươi Lâu Greenhome, Longlife, Bón Cho Hoa Cắt Cành, Gói 5gr, Lâu Tàn, Không Hôi Nước",Greenhome,Tiki,CAT_0007
277384219,Đồ Chơi Lắp Ráp Minecraft Nam Châm Hình Khối Phát Triển Tư Duy Trẻ Em SET 50 CÁI - HÀNG CHÍNH HÃNG MINIIN,Miniin,Tiki,CAT_0025
277534558,"Gối ôm cho bé Katina House, vải Tencel ruột gòn lông vũ nhân tạo mềm mịn mát, siêu êm",Katina House,Tiki,CAT_0013
277908696,"Cờ lê vặn vòi nước đa chức năng tiện dụng, cờ lê hở, cờ lê vặn dây cấp nước - Giao Màu Ngẫu Nhiên",Luckyjqr,Tiki,CAT_0007
278686358,"Đèn Pin Sạc Đa Năng Kachi MK425: Soi Rọi Mọi Hành Trình, Bừng Sáng Mọi Cuộc Vui - hàng chính hãng",Kachi,Tiki,CAT_0026
251485370,"Born free but now i am expensive, mã G40. Hãy tỏa sáng như kim cương, qua chiếc áo thun Goking siêu hot cho nam nữ trẻ em, cặp đôi, gia đình, đội nhóm",Goking,Tiki,CAT_0002
146417196,1 hộp(500g) Ngũ Cốc Min Min Lợi Sữa 38 Loại Hạt Chuyên Lợi Sữa và Phục Hồi Sức Khỏe Sau Sinh,Min Min,Tiki,CAT_0014
242430297,Kính Cường Lực G5 Full Màn Hình cho các dòng Iphone - Hàng chính hãng,Hoco,Tiki,CAT_0003
54058503,Sữa rửa mặt dưỡng trắng Hada Labo Perfect White Tranexamic Acid Cleanser 80g,Hada Labo,Tiki,CAT_0027
278838097,Sách Tính Bản Ác (M. Scott Peck) - Tuệ Tri,No Brand,Tiki,CAT_0028
278818797,Lò vi sóng Sharp R-2040EH-BK 20 Lít - Hàng Chính Hãng,Sharp,Tiki,CAT_0009
205694855,Sách Đồi Gió Hú (Bìa Mềm) - Tái Bản,No Brand,Tiki,CAT_0006
100296099,Bao da cao cấp dành cho Samsung Galaxy S10 5G dạng ví chính hãng Forwenw - Hàng nhập khẩu,Forwenw,Tiki,CAT_0003
279149930,"Loa Bluetooth Hoco HC30 Led RGB Bản Nâng Cấp Pin 1800mAh, Bluetooth V5.4, hỗ trợ thẻ nhớ TF, cắm USB phát nhạc - Hàng chính hãng",Hoco,Tiki,CAT_0029
272372794,Kính cường lực Nillkin CP+ PRO cho iPhone 15 / iPhone 15 Plus / iPhone 15 Pro / iPhone 15 Pro Max - Hàng Chính Hãng,Nillkin,Tiki,CAT_0003
35043551,Thùng 48 Hộp Sữa Nước Abbott Grow Gold 110ml,Grow,Tiki,CAT_0013
276902001,TY NGẬM SILICONE CHO BÉ TỪ SƠ SINH - KUKU,Ku.Ku Duckbill,Tiki,CAT_0013
274132044,CƯA TAY LÁ LIỄU 400MM TOTAL THT55400 - HÀNG CHÍNH HÃNG,Total,Tiki,CAT_0002
277188273,Ốp lưng dành cho Iphone 12 - 12 Pro - 12 Pro Max - 13 Mini - 13 - 13 Pro - 13 Pro Max - Hình Cặp Áo Cam Đỏ - Hàng Chính Hãng,Olsg,Tiki,CAT_0002
210943263,"️Đồ Bộ Trung Niên️  Đồ Bộ Trung Niên Nữ Trẻ Trung , Quần Áo Sang Trọng Cho Mẹ Chất Đũi Nhật Phối Lưới Mềm Mát",Unknown,Tiki,CAT_0002
276357675,"Bao da dạng ví hiệu Caseme dành cho iPhone 13 Pro Max , iPhone 13 , iPhone 13 Pro chống sốc chống va đập, kèm ngăn đựng thẻ đựng tiền tiện lợi - Hàng chính hãng",Greencase,Tiki,CAT_0003
273235757,"Sữa Glucerna Úc dành cho người tiểu đường, bổ sung dinh dưỡng, cân bằng đường huyết, tạo sức khỏe tim, tăng sức khỏe chung 850gr",Glucerna,Tiki,CAT_0013
53184033,Sách 2000 Từ Vựng Tiếng Hàn Thiết Yếu Cho Người Mới Bắt Đầu (Tặng Kèm CD),No Brand,Tiki,CAT_0006
263705154,Đặc Sản Bình Thuận  - Cá Cơm Sấy Giòn Đầm Sen - 90G,Đầm Sen,Tiki,CAT_0014
434450,Combo 3 Chai Dầu Tràm Cung Đình (15ml),Cung Đình,Tiki,CAT_0013
67263771,Áo len cổ tim dài tay chất len đũa dành cho nữ,Haint Boutique,Tiki,CAT_0001
158856464,"MAMA - Mì Mama gói nhỏ hương vị Gà, Mì ăn liền Mama, Mì Thái Lan hương vị Gà (55g/gói)",Mama,Tiki,CAT_0014
214231590,LEGO - NINJAGO - 71783 - Chiến Xe Tiến Hóa Của Kai,Lego,Tiki,CAT_0025
195652204,"Áo kiểu nữ cổ tròn tay lỡ form rộng thoải mái, chất liệu Đũi cao cấp mềm mịn, mát, hoạ tiết Thêu tỉ mỉ NeSa Shop AKH.57",Unknown,Tiki,CAT_0002
272358633,"Ốp lưng iPhone 15 Pro, 15 Pro Max hiệu Nillkin Camshield Pro chống sốc cực tốt, chất liệu cao cấp, có khung & nắp đậy bảo vệ Camera - Hàng nhập khẩu",Nillkin,Tiki,CAT_0003
275209105,"Áo Tank Top Lưới Croptop Cực Xinh Mặc Ngoài Áo Bra Tập Thể Thao, ĐI chơi",Unknown,Tiki,CAT_0001
279166794,"Cân Nhà Bếp, Cân Tiểu Ly Điện Tử Mini Chính Hãng Sailaza SA- 1221",Sailaza,Tiki,CAT_0002
199549686,Tai nghe Bluetooth In-ear Sony WI-C100 - Hàng chính hãng,Sony,Tiki,CAT_0017
257856782,Váy Nữ Vải Xước Màu Be Cao Cấp 23V043 Pi Style,Pi Home Of Beauty,Tiki,CAT_0002
13877177,Đèn Sạc Khẩn Cấp Kentom KT301,Kentom,Tiki,CAT_0002
276471367,[TẶNG THÊM 4 MIẾNG] Tã quần Bobby Siêu Khô Thoáng - 100% Thoáng Khí  Super Jumbo,Bobby,Tiki,CAT_0002
273267047,"Đồ Chơi Mô Hình Súng Bắn Bóng Khủng Long Kèm Bia Mục Tiêu, Đồ Chơi Bắn Bóng Khủng Long Tặng Kèm 5 Quả Bóng, Hàng Chính Hãng",Asstar,Tiki,CAT_0013
165212602,Đĩa bày gà sứ Bát Tràng,Bát Tràng,Tiki,CAT_0007
275047730,Máy Hút Chân Không Status 170300 SV 2000 Semi-professional Màu Trắng – 704624 hàng chính hãng,Status,Tiki,CAT_0009
276235601,"Máy làm sữa hạt đa năng Bear PBJ-D10T1 (1000W, 1.75L, 6 lưỡi dao) - Hàng chính hãng",Bear,Tiki,CAT_0002
35848346,Cà Phê Rang Xay Expert Blend 3 KING COFFEE - Túi 500g,King Coffee,Tiki,CAT_0014
126303703,Máy ép trái cây Philips HR1863 - Hàng chính hãng,Philips,Tiki,CAT_0009
253471974,Sách 10 vạn câu hỏi vì sao (dành cho thiếu nhi) - bìa mềm,No Brand,Tiki,CAT_0002
276846013,"Giá Đỡ Cằm Chống Cận Thị, Dụng Cụ Giúp Ngồi Thẳng Lưng Chống Gù Cao Cấp ECO Chính Hãng dododios",Dododios,Tiki,CAT_0030
275868050,Dung dịch làm sạch cho bé 3in1 dạng bọt Babycoccole 0M+ - 150ml,Babycoccole,Tiki,CAT_0002
276135260,Bếp từ đơn Lumias LK24-220Ba Hàng chính hãng,Lumena,Tiki,CAT_0009
275577437,"Gấu Bông Con Cừu Trắng Tuyệt Đẹp Mềm Mịn Siêu Dễ Thương (25cm) Hàng Xịn Loại 1 Cao Cấp, An Toàn Cho Trẻ Nhỏ",Hier,Tiki,CAT_0031
34482158,COGO - Mô hình ROBOT (8in1)  ( 3in1) nhiều mẫu,Cogo,Tiki,CAT_0025
213735924,Vỏ chăn cotton LIDACO kích thước 2mx2m2 nhiều màu sắc lựa chọn,Lidaco,Tiki,CAT_0007
158307840,Sách Kể Chuyện Rượu Vang,No Brand,Tiki,CAT_0006
279008340,Lò vi sóng Bluestone 25L MOB-7733 - Hàng chính hãng,Bluestone,Tiki,CAT_0032
273188832,Thùng 48 hộp Sữa trái cây hương nho KUN 110ml/hộp(có thẻ),Kun,Tiki,CAT_0002
160488402,Nồi áp suất bếp từ chính hãng Pearl Metal Quick Eco (4.5L / 5.5L) - Hàng nội địa Nhật Bản #Nhập khẩu chính hãng,Quick Eco,Tiki,CAT_0009
273059015,Sách 500 bài thuốc hay chữa bệnh theo kinh nghiệm dân gian,No Brand,Tiki,CAT_0033
278820113,Ấm siêu tốc SMEG KLF03PGEU Hàng chính Hãng,Smeg,Tiki,CAT_0009
277596948,Sữa Bột Nutifood GrowPLUS+ Suy Dinh Dưỡng trên 1 tuổi lon 400g,Growplus,Tiki,CAT_0013
278530633,Vi sinh viên nén Sunsun Nitrifying Bacteria Tablet xử lý khử độc làm trong nước bể cá tép thủy sinh,Sunsun,Tiki,CAT_0014
80964760,Ốp lưng cho SamSung Galaxy S21 Plus/ S21 Ultra chính hãng GREENCASE dạng da mềm,Greencase,Tiki,CAT_0003
162834879,Sách Nguyên Lý Marketing,No Brand,Tiki,CAT_0006
541775,Mũ Bảo Vệ Đầu Cho Bé Mumguard Hình Bọ Cánh Cam - Cam,Mumguard,Tiki,CAT_0034
277438653,"Kệ Để Đồ Nhà Tắm Cốc Hút Dán Tường, Giá Treo Nhà Bếp Chắc Chắn, Lỗ Thoát Nước Thông Minh - HÀNG CHÍNH HÃNG MINIIN",Miniin,Tiki,CAT_0007
273167415,Máy nướng bánh mì 2 ngăn  hàng nhập khẩu chính hãng.,Cobi Home,Tiki,CAT_0009
207272740,"Quần ống rộng, chất liệu Linen, quần kiểu nữ form rộng rãi, thoải mái NeSa Shop QKH.39",Unknown,Tiki,CAT_0001
198215131,"Sách UX RESEARCH-Thấu Hiểu Người Dùng, Ung Dung Chiến Thắng",No Brand,Tiki,CAT_0006
271972859,Cáp Sạc ANKER PowerLine+ III USB-C TO Light.ning dài 1.8M - ANKER A9551 - Phiên Bản Marvel - Hỗ Trợ Sạc Nhanh Cho iPhone,Unknown,Tiki,CAT_0003
279185702,Sách - Dấu Ấn Hoàng Gia - Tập 42,No Brand,Tiki,CAT_0035
78488079,Quạt Điện Đứng Senko L1638 - Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,Senko,Tiki,CAT_0009
19944385,Tấm Đệm Lót Caryn Mỏng Nhẹ (14 Miếng),Caryn,Tiki,CAT_0036
262662798,Sách Agatha Christie - Bí ẩn ba phần tư,No Brand,Tiki,CAT_0002
