seller_username,seller_feedback_score,seller_feedback_percent,Trust_Level
acer,117605,99.0,High Trust
discountcomputerdepot,156372,99.3,High Trust
best_buy,952756,98.6,High Trust
swiftspend0326,1377,99.7,High Trust
jetpaltd,4340,99.7,High Trust
famc-e,3009,100.0,High Trust
aaa_pcs,7458,100.0,High Trust
regadget,12460,99.7,High Trust
jcs_computer_store,79693,98.9,High Trust
sgin_official_store,4076,99.0,High Trust
boxdealsco,714,99.4,High Trust
it_xchange,4201,99.4,High Trust
fuhuakeji,277,97.3,Normal/Low Trust
prycedin,79772,99.4,High Trust
lakemichigancomputers,47072,99.8,High Trust
hellogoodlife1,19286,98.0,Normal/Low Trust
jona_634744,0,0.0,Normal/Low Trust
hawk_line,44333,97.9,Normal/Low Trust
electronicscentralstore,3069,99.4,High Trust
mendymarkettechllc,250,100.0,High Trust
theamazinghub,7526,99.9,High Trust
kevinle_9399,93,100.0,High Trust
vipoutlet,716751,96.3,Normal/Low Trust
like-new-laptops,21160,100.0,High Trust
hunga_7829,7557,99.6,High Trust
swellcells,16352,98.8,High Trust
hobby_deals341,1836,100.0,High Trust
kamrui_outlet_store,2036,99.9,High Trust
thelaptopbarn,56066,99.9,High Trust
synergyindustrial,69638,99.3,High Trust
konronus,1777,100.0,High Trust
peachpc,7908,99.9,High Trust
ingrammicrorefurbished,1841,99.8,High Trust
customized-store,223,98.2,High Trust
a-all-limo2000,3991,99.3,High Trust
2ndgearllc,7054,99.1,High Trust
purpletechnado,76154,99.9,High Trust
racstric-70,14,85.0,Normal/Low Trust
blairtg,79484,98.8,High Trust
proearthtech,16541,99.8,High Trust
reviveit.io,118511,99.9,High Trust
thephoneguys-outlet,5116,99.3,High Trust
ticktock1-2-3,56573,98.1,High Trust
cellularprofessor,28393,99.7,High Trust
refurbit_ca,1081,98.1,High Trust
soareus_llc,2390,99.4,High Trust
toyarcade,77834,99.3,High Trust
evergreen.solutions,5369,99.8,High Trust
er-rushus,3845,99.8,High Trust
nbddi-67,1818,98.5,High Trust
coretechservers,224,99.6,High Trust
esourceplus,188617,99.0,High Trust
tekdeals,74866,99.9,High Trust
buyrefurbished,19044,98.7,High Trust
strelectronics,11891,99.6,High Trust
sierratech22,11787,99.5,High Trust
stthomas_31,9672,99.6,High Trust
tegxinda,941,98.9,High Trust
highland-performance-systems,13021,100.0,High Trust
triangle-ecycling,6180,99.8,High Trust
dealjustdeal,985,100.0,High Trust
thecoolb76,781,99.2,High Trust
clr_solutions_llc,9023,99.6,High Trust
nq7technologies,517,100.0,High Trust
pioneer-surplus,9288,99.8,High Trust
pcs-for-people-chicago,3687,99.7,High Trust
focuscamera,208273,99.6,High Trust
mobileshark,115851,100.0,High Trust
themaxmart,17118,99.6,High Trust
ultimate_us_electronics,17642,100.0,High Trust
computerreach,256,100.0,High Trust
surplusspectra,25071,99.6,High Trust
acebiz,2730,99.8,High Trust
bestbuywholesale1,18898,99.6,High Trust
zoeyf99,1250,99.5,High Trust
bluebrierllc,749,99.8,High Trust
recycle_your_electronics,10404,100.0,High Trust
data-sales,5479,99.7,High Trust
ges-refurb-jn,3343,99.6,High Trust
renedistri_0,2024,99.2,High Trust
buybest26,9705,99.8,High Trust
robbylo68,9585,100.0,High Trust
luckywolf29,53723,99.8,High Trust
kzalta,16545,100.0,High Trust
pcrecyclerva,25846,99.6,High Trust
zacks-silo,5191,99.9,High Trust
bestptv,2972,99.5,High Trust
kl0,54831,99.6,High Trust
endeardistributors,79856,99.8,High Trust
auditmacstech,18200,99.8,High Trust
go_tech_online,2663,99.7,High Trust
hs_tech,14794,99.9,High Trust
2ndpcmall,7631,100.0,High Trust
dynamicithardware,36808,99.9,High Trust
betamacs-sales-global,22298,99.5,High Trust
nimo-official,256,97.8,Normal/Low Trust
juluplus,75607,99.0,High Trust
taziasmommy07,12473,99.9,High Trust
kyman1530,19320,100.0,High Trust
tech-world43228,67022,99.4,High Trust
smartresale,23289,99.7,High Trust
triad-sourcing,183,100.0,High Trust
sunnking,163085,99.6,High Trust
ownson-inc,1658,99.2,High Trust
wastecom,11628,99.6,High Trust
e.greenius,20908,100.0,High Trust
spicketriver_computers,8361,99.8,High Trust
ocean-tech,56645,99.7,High Trust
zeete_75,449,98.9,High Trust
pcpartspros,2396,100.0,High Trust
hovrashok,11294,99.8,High Trust
laptopcaretx,4863,98.8,High Trust
firstworldmed,5010,99.9,High Trust
goodcomputerguy381,34305,99.7,High Trust
clear-pc-go,6424,99.6,High Trust
custom-rugged-laptops,1740,100.0,High Trust
gpdeals13,1734,100.0,High Trust
wins-nkwe,519,99.7,High Trust
regencytechnologies,173282,99.6,High Trust
goodpointselectronics,9382,98.7,High Trust
nirajjain,2776,99.6,High Trust
parts.4.all,2636,99.5,High Trust
new.techies,22301,99.3,High Trust
ellen_mouse,9317,99.5,High Trust
omahablue,20005,99.2,High Trust
nuoweidi-tech,494,99.0,High Trust
vrassets,81910,99.6,High Trust
gp1246,580,99.7,High Trust
quickshipelectronics,410214,99.8,High Trust
smgusa,5228,99.5,High Trust
g-electronic,117426,99.6,High Trust
at.services,1597,99.8,High Trust
linkeet,10339,99.8,High Trust
wrwolfe1372,50,100.0,High Trust
marscot-mvdiqjq8,6263,99.4,High Trust
crypto_red,3105,99.5,High Trust
livinggreenseattle,10127,99.7,High Trust
bignfl-66,38,100.0,High Trust
newegg,1068151,99.5,High Trust
gigaworksinc,1937,99.6,High Trust
e-lulu,672,100.0,High Trust
chadia_28,0,0.0,Normal/Low Trust
redtagdeal,24700,99.9,High Trust
kramdeninstitute,7481,99.5,High Trust
