product_id,price,original_price,discount_rate,rating_average,review_count,quantity_sold,Discount_Segment,Is_Best_Seller
277305929,320000.0,320000,0,0.0,0,0,0%,0
275767409,610000.0,610000,0,0.0,0,0,0%,0
12276970,509000.0,509000,0,4.8,15,51,0%,0
99324795,45000.0,50000,10,4.5,4,49,< 20%,0
272413292,69000.0,69000,0,5.0,2,21,0%,0
61274272,185000.0,185000,0,4.5,2,18,0%,0
277232916,42000.0,60000,30,0.0,0,0,20-50%,0
275344801,13728.0,13728,0,0.0,0,8,0%,0
248541391,99100.0,119000,17,5.0,38,307,< 20%,1
277880869,168000.0,168000,0,5.0,1,5,0%,0
132703002,199000.0,199000,0,0.0,0,0,0%,0
595724,174000.0,228000,24,5.0,418,3346,20-50%,1
130369125,219000.0,219000,0,4.7,23,163,0%,1
278950965,299000.0,299000,0,0.0,0,0,0%,0
274765124,50000.0,100000,50,5.0,2,83,20-50%,0
88073058,140000.0,200000,30,4.8,97,710,20-50%,1
186552176,280000.0,280000,0,5.0,1,34,0%,0
278682565,185400.0,299000,38,5.0,4,152,20-50%,1
50691053,249000.0,249000,0,1.0,2,16,0%,0
278961233,79000.0,79000,0,5.0,1,30,0%,0
6840059,143000.0,182618,22,4.8,524,16814,20-50%,1
44372249,38250.0,38250,0,5.0,1,5,0%,0
278756672,259000.0,259000,0,0.0,0,0,0%,0
98578829,246000.0,260000,5,4.6,627,4814,< 20%,1
96175682,1589000.0,1589000,0,4.7,206,713,0%,1
275695922,4690000.0,4690000,0,5.0,3,0,0%,0
248638181,539018.0,539018,0,0.0,0,1,0%,0
101949408,12900.0,12900,0,5.0,46,373,0%,1
37946843,92000.0,118000,22,4.5,18,177,20-50%,1
278068466,83000.0,89000,7,3.8,4,8,< 20%,0
201529616,53000.0,60000,12,0.0,0,0,< 20%,0
274987524,1243000.0,2350000,47,5.0,2,12,20-50%,0
278872428,1358000.0,2988000,55,5.0,2,27,> 50%,0
271312499,5040000.0,6990000,28,4.8,21,109,20-50%,1
276120744,129000.0,129000,0,0.0,0,1,0%,0
247427687,775000.0,775000,0,5.0,197,6867,0%,1
186349365,699000.0,699000,0,5.0,5,50,0%,0
278704276,677000.0,999000,32,0.0,0,1,20-50%,0
278691690,299000.0,299000,0,0.0,0,0,0%,0
187826660,1099000.0,1099000,0,0.0,0,0,0%,0
32951826,171000.0,221000,23,5.0,575,9786,20-50%,1
278989407,59000.0,59000,0,0.0,0,0,0%,0
277497077,3148000.0,3995000,0,0.0,0,0,0%,0
275240061,46000.0,55000,16,0.0,0,29,< 20%,0
272903492,489000.0,489000,0,5.0,54,10,0%,0
46225060,309000.0,309000,0,4.0,1,1,0%,0
276702236,93800.0,136000,31,5.0,1,6,20-50%,0
278693057,77000.0,77000,0,0.0,0,2,0%,0
278101824,94000.0,128000,27,4.6,17,251,20-50%,1
276674842,675000.0,675000,0,0.0,0,11,0%,0
277312432,320000.0,320000,0,0.0,0,0,0%,0
273309550,275000.0,377018,27,5.0,14,427,20-50%,1
277596966,662000.0,662000,0,5.0,2,2672,0%,1
177924918,140000.0,140000,0,5.0,1,4,0%,0
175645864,550000.0,550000,0,0.0,0,0,0%,0
1404097,17000.0,17000,0,4.8,12,84,0%,0
278804919,299000.0,299000,0,0.0,0,2,0%,0
270734741,85000.0,125000,32,5.0,4,103,20-50%,1
272564073,1189000.0,1450000,18,5.0,1,9,< 20%,0
278700523,96000.0,99000,3,0.0,0,0,< 20%,0
278619742,160160.0,208000,23,0.0,0,28,20-50%,0
102432143,280280.0,286000,2,4.3,6,17,< 20%,0
14134809,79000.0,79000,0,4.7,66,804,0%,1
270789912,24500.0,25000,2,4.8,30,21,< 20%,0
276937664,6160790.000000018,6745000,0,0.0,0,0,0%,0
275295766,221000.0,221000,0,0.0,0,5,0%,0
275625828,46900.0,46900,0,4.7,3,53,0%,0
277384219,119000.0,119000,0,5.0,1,9,0%,0
277534558,219000.0,219000,0,0.0,0,0,0%,0
277908696,100000.0,100000,0,0.0,0,6,0%,0
278686358,139300.0,199000,30,4.0,3,4,20-50%,0
251485370,69000.0,69000,0,0.0,0,0,0%,0
146417196,270000.0,270000,0,4.5,2,5,0%,0
242430297,38000.0,65000,42,3.7,3,9,20-50%,0
54058503,82000.0,97000,15,4.7,656,78169,< 20%,1
278838097,125000.0,185000,32,4.8,20,380,20-50%,1
278818797,1255000.0,1890000,34,0.0,0,0,20-50%,0
205694855,78800.0,105000,25,4.5,2,83,20-50%,0
100296099,189000.0,189000,0,0.0,0,2,0%,0
279149930,261000.0,261000,0,4.0,1,1,0%,0
272372794,161499.0,169999,5,0.0,0,2,< 20%,0
35043551,649000.0,804000,19,4.8,216,3079,< 20%,1
276902001,79000.0,79000,0,0.0,0,0,0%,0
274132044,115000.0,115000,0,0.0,0,2,0%,0
277188273,40000.0,60000,33,0.0,0,0,20-50%,0
210943263,164000.0,164000,0,0.0,0,2,0%,0
276357675,165000.0,165000,0,0.0,0,1,0%,0
273235757,1190000.0,1190000,0,5.0,75,448,0%,1
53184033,235800.0,268000,12,0.0,0,4,< 20%,0
263705154,46000.0,46000,0,0.0,0,6,0%,0
434450,119000.0,119000,0,4.3,6,14,0%,0
67263771,199000.0,199000,0,1.0,1,3,0%,0
158856464,14400.0,14400,0,0.0,0,12,0%,0
214231590,1899000.0,1899000,0,0.0,0,0,0%,0
195652204,132000.0,179000,26,5.0,2,11,20-50%,0
272358633,169000.0,199999,15,0.0,0,4,< 20%,0
275209105,119000.0,125000,5,0.0,0,1,< 20%,0
279166794,450000.0,450000,0,4.7,41,223,0%,1
199549686,545000.0,545000,0,5.0,8,42,0%,0
257856782,199000.0,199000,0,0.0,0,1,0%,0
13877177,349999.0,349999,0,4.6,20,104,0%,1
276471367,270000.0,320000,16,5.0,11,134,< 20%,1
273267047,115000.0,115000,0,0.0,0,2,0%,0
165212602,230000.0,230000,0,4.5,4,17,0%,0
275047730,5400000.0,5400000,0,0.0,0,0,0%,0
276235601,1413000.0,2990000,53,5.0,1,1,> 50%,0
35848346,236600.0,236600,0,4.7,51,409,0%,1
126303703,2749000.0,4759000,42,0.0,0,0,20-50%,0
253471974,151500.0,205000,26,4.7,3,33,20-50%,0
276846013,71000.0,71000,0,0.0,0,3,0%,0
275868050,211500.0,235000,10,0.0,0,7,< 20%,0
276135260,1090000.0,1090000,0,5.0,1,3,0%,0
275577437,79000.0,79000,0,4.0,1,11,0%,0
34482158,189000.0,189000,0,0.0,0,1,0%,0
213735924,179000.0,200000,11,5.0,10,47,< 20%,0
158307840,153230.0,199000,23,5.0,55,560,20-50%,1
279008340,2090000.0,2690000,22,0.0,0,0,20-50%,0
273188832,221000.0,262000,16,5.0,4,761,< 20%,1
160488402,2379500.0,2379500,0,0.0,0,1,0%,0
273059015,62700.0,90000,30,4.6,22,354,20-50%,1
278820113,4500000.0,4500000,0,0.0,0,0,0%,0
277596948,229000.0,229000,0,0.0,0,1,0%,0
278530633,29000.0,29000,0,0.0,0,4,0%,0
80964760,99100.0,99100,0,4.6,8,41,0%,0
162834879,659400.0,999000,34,5.0,80,691,20-50%,1
541775,215000.0,215000,0,4.7,13,50,0%,0
277438653,97000.0,97000,0,5.0,1,17,0%,0
273167415,989000.0,989000,0,0.0,0,0,0%,0
207272740,110000.0,229000,52,5.0,2,10,> 50%,0
198215131,111200.0,139000,20,5.0,40,508,20-50%,1
271972859,300000.0,600000,50,5.0,1,9,20-50%,0
279185702,30000.0,30000,0,5.0,1,30,0%,0
78488079,378000.0,378000,0,4.8,185,933,0%,1
19944385,99000.0,104500,5,5.0,578,18301,< 20%,1
262662798,136000.0,180000,24,5.0,25,288,20-50%,1
277726561,58666.0,58666,0,0.0,0,7,0%,0
278294971,1200000.0,1200000,0,0.0,0,0,0%,0
276933744,272000.0,356000,24,4.5,11,626,20-50%,1
277256801,60000.0,60000,0,0.0,0,0,0%,0
49649751,32300.0,45000,28,4.8,239,653,20-50%,1
35283819,350000.0,378000,7,5.0,2,17,< 20%,0
48447050,67000.0,67000,0,0.0,0,5,0%,0
275306833,10296.0,10296,0,3.0,2,54,0%,0
278764674,172000.0,172000,0,0.0,0,0,0%,0
207363280,160000.0,160000,0,0.0,0,1,0%,0
275888209,255000.0,289000,12,0.0,0,0,< 20%,0
277912060,85600.0,119000,28,5.0,3,117,20-50%,1
15267827,74000.0,86000,14,5.0,3524,26985,< 20%,1
4534531,449150.0,691000,35,4.5,903,8218,20-50%,1
270847918,163700.0,245000,33,4.7,530,791,20-50%,1
117339494,1049000.0,1049000,0,0.0,0,4,0%,0
537515,219000.0,226000,3,5.0,35,881,< 20%,1
6883443,150000.0,150000,0,5.0,2,22,0%,0
412776,319000.0,475000,33,4.7,390,18330,20-50%,1
113004691,249900.0,249900,0,4.0,1,6,0%,0
276562668,1375000.0,1699000,19,0.0,0,7,< 20%,0
