id,name,price,original_price,discount_rate,rating_average,review_count,quantity_sold,brand,category,url_key
278012255,QUẦN LÓT LỤA SIÊU ĐẸP CAO CẤP PHỐI REN TỪ 40-70KG DÀNH CHO NỮ,45000,45000,0,0.0,0,0,OEM,Thời trang nữ,quan-lot-lua-sieu-dep-cao-cap-phoi-ren-tu-40-70kg-danh-cho-nu-p278012255
204000450,Combo Sách Giáo Trình Chuẩn HSK 1 - Sách Bài Học Và Bài Tập (Bộ 2 Cuốn),284800,356000,20,5.0,100,1712,No Brand,Sách tiếng Việt,combo-sach-giao-trinh-chuan-hsk-1-sach-bai-hoc-va-bai-tap-bo-2-cuon-p204000450
52603932,"Bộ ổ cắm đôi 3 chấu 16A, Schneider Electric dòng AvatarOn",260400,260400,0,5.0,4,119,Schneider Electric,Nhà Cửa - Đời Sống,bo-o-cam-doi-3-chau-16a-schneider-electric-dong-avataron-p52603932
276422296,"Keo Dán Giày, Gỗ, Nhựa, Sứ Siêu Dính Chống Thấm Đa Năng 20Ml - 7149 ",110000,110000,0,4.7,3,26,LuckyJQR,Nhà Cửa - Đời Sống,keo-dan-giay-go-nhua-su-sieu-dinh-chong-tham-da-nang-20ml-7149-p276422296
278944997,Máy hút ẩm Tiross 40L TS8874 - Hàng chính hãng,8999000,8999000,0,0.0,0,0,Tiross,Máy hút ẩm,may-hut-am-tiross-40l-ts8874-hang-chinh-hang-p278944997
42559444,Đầm Hoa Tay Lỡ Xinh Xắn DN064 MayHomes,179000,179000,0,4.5,35,163,MAYHOMES,Thời Trang,dam-hoa-tay-lo-xinh-xan-dn064-mayhomes-p42559444
275418094,"hạt đại mạch dùng làm thức ăn đầy đủ dinh dưỡng cho chim , vẹt",17999,17999,0,0.0,0,3,Vemedim,Bách Hóa Online,hat-dai-mach-dung-lam-thuc-an-day-du-dinh-duong-cho-chim-vet-p275418094
278830366,Kéo Cắt Gà Làm Bếp Đa Năng ASAKH SK5 Cán Thép No.H48 Loại To Dày,95000,95000,0,5.0,1,11,ASAKH,Nhà Cửa - Đời Sống,keo-cat-ga-lam-bep-da-nang-asakh-sk5-can-thep-no-h48-loai-to-day-p278830366
262031506,"Hub Type C FIRO Và Hub USB FIRO 3.0 Adapter 4in1 - Bộ Chia USB FIRO Ra Nhiều Cổng Kết Nối Chuyển Đổi Cho Laptop,PC, Máy Tính Đa Năng - Hub FIRO Hỗ Trợ Sạc Pin, Kết Nối Đa Năng Ổ Cứng, Bàn Phím, Chuột, Máy In, Thiết Bị Chia Ổ USB - Hàng Chính Hãng",165000,319000,48,5.0,36,306,FIRO,Thiết Bị Số - Phụ Kiện Số,hub-type-c-firo-va-hub-usb-firo-3-0-firo-type-c-adapter-4in1-bo-chia-usb-firo-ra-nhieu-cong-ket-noi-chuyen-doi-cho-macbook-pro-laptop-pc-bo-chia-da-nang-4-cong-toc-do-cao-cho-huawei-xiaomi-macbook-pro-dell-asus-lenovo-hp-hang-chinh-hang-p262031506
278828557,BẾP TỪ ĐƠN GKÖCH CÔNG SUẤT 2000W Hàng chính hãng,1790000,1790000,0,0.0,0,0,GKOCH,Điện Gia Dụng,bep-tu-don-gk-ch-cong-suat-2000w-hang-chinh-hang-p278828557
278816201,Bộ Sách Nhẩn Nha Với Trà,97000,139000,30,0.0,0,20,No Brand,Root,bo-sach-nhan-nha-voi-tra-p278816201
68201195,Áo Ngực Nữ Cotton Không Gọng Miley Lingerie - Màu Trắng Kem BRW02115,280000,280000,0,4.8,43,165,Miley Lingerie,Thời trang nữ,ao-nguc-nu-cotton-khong-gong-miley-lingerie-mau-trang-kem-brw02115-p68201195
278968731,Set 80 ống hút bọc riêng Torune Flexible Straw Ø6x210mm,39500,39500,0,0.0,0,2,Flexible Straw,Ống hút,set-80-ong-hut-boc-rieng-torune-flexible-straw-6x210mm-p278968731
46117734,"Máy Xông Tinh Dầu Đuổi Muỗi Bạch Tuyết | Giúp Phun Sương, Xông Phòng | Tặng 3 Chai Tinh Dầu Kobi Sả Chanh + Bạc Hà + Oải Hương Nhập Khẩu Ấn Độ",369000,718000,49,4.8,5,95,KOBI,Điện Gia Dụng,may-tao-am-phun-suong-bach-tuyet-tang-3-chai-tinh-dau-kobi-sa-chanh-bac-ha-oai-huong-nhap-khau-an-do-xong-phong-30m2-p46117734
276938613,"Quạt phun sương để bàn nhỏ gọn MINI COOL FAN, tiện lợi, có 5 vòi phun sương quạt hơi nước kèm đèn led hẹn giờ cùng 3 chế độ phun sương Hàng chính hãng",185000,185000,0,0.0,0,2,Shouse,Điện Gia Dụng,quat-phun-suong-de-ban-nho-gon-mini-cool-fan-tien-loi-co-5-voi-phun-suong-quat-hoi-nuoc-kem-den-led-hen-gio-cung-3-che-do-phun-suong-hang-chinh-hang-p276938613
1064988,Trung Nguyên Legend - Cà phê hòa tan G7 2in1 - Hộp 15 gói x 16gr,72000,79031,9,5.0,96,2279,Trung Nguyên Legend,Bách Hóa Online,trung-nguyen-legend-ca-phe-hoa-tan-g7-2in1-hop-15-goi-x-16gr-p1064988
275229276,"Bình Đựng Nước Có Vòi 3,5L Việt Nhật Để Trong Tủ Lạnh Tiện Lợi Đa Năng - Bình Đựng Nước Chất Liệu Nhựa PP Nguyên Sinh Sản Xuất Theo Tiêu Chuẩn Nhật Bản An Toàn Cho Người Dùng - Hàng Việt Nam",49980,98000,49,5.0,1,18,Việt Nhật,Nhà Cửa - Đời Sống,binh-dung-nuoc-co-voi-3-5l-viet-nhat-de-trong-tu-lanh-tien-loi-da-nang-binh-dung-nuoc-chat-lieu-nhua-pp-nguyen-sinh-san-xuat-theo-tieu-chuan-nhat-ban-an-toan-cho-nguoi-dung-hang-viet-nam-p275229276
272285194,Ốp lưng da cao cấp dành cho iPhone 15 / 15 Plus / 15 Pro / 15 Pro Max - Hàng chính hãng,179000,250000,28,5.0,10,77,Photodesign VN,Thiết Bị Số - Phụ Kiện Số,op-lung-da-cao-cap-danh-cho-iphone-15-15-plus-15-pro-15-pro-max-hang-chinh-hang-p272285194
174593834,"Chuột bluetooth PIXLINK P103BL 2 chế độ sạc pin siêu mỏng không gây tiếng ồn chuyên dùng cho Máy tính, pc, Laptop, Tivi Hàng Chính Hãng",115000,175000,34,5.0,87,410,PIX-LINK,Root,chuot-bluetooth-pixlink-p103bl-2-che-do-sac-pin-sieu-mong-khong-gay-tieng-on-chuyen-dung-cho-may-tinh-pc-laptop-tivi-p174593834
276078455,Series các tập Gachiakuta,40900,45000,9,5.0,18,327,No Brand,Root,series-cac-tap-gachiakuta-p276078455
275842703,Lục Lạc Vải Cầm Tay Có Bóp Chút Chít - Đồ Chơi Cho Trẻ Sơ Sinh - Pipo Vietnam,75000,75000,0,5.0,1,0,Pipovietnam,Đồ Chơi - Mẹ & Bé,luc-lac-vai-cam-tay-co-bop-chut-chit-do-choi-cho-tre-so-sinh-pipo-vietnam-p275842703
277816160,Sách Bình Minh Trên Phố Brooklyn,127000,195000,35,4.3,11,203,No Brand,Tiểu Thuyết Phương Tây,sach-binh-minh-tren-pho-brooklyn-p277816160
263099963,Cơm cháy mắm hành mix chà bông Viettin Mart 500G,80000,80000,0,0.0,0,4,VietTin Mart,Bách Hóa Online,com-chay-mam-hanh-mix-cha-bong-viettin-mart-500g-p263099963
